NCgl_ID,Cgl_ID,ID,Name,Synonyms,Protein,Strains,Function,Length
NCgl2227,Cgl2309,cg2536,aecD,,PLP-dependent aminotransferase and cystathionine beta-lyase (EC 2.6.1.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,325
NCgl2228,Cgl2310,cg2537,brnQ,,Branched-chain amino acid transport system carrier protein (Branched-chain amino acid uptake carrier),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,426
,Cgl2312,cg2539,ectP,,Ectoine/glycine betaine/proline transporter EctP,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,615
,Cgl2315,cg2543,glcD,,FAD/FMN-containing dehydrogenases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,948
,Cgl2325,cg2554,rbsK2,rbsK,Ribokinase (RK) (EC 2.7.1.15),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,301
NCgl2247,Cgl2330,cg2559,aceB,glcB,Malate synthase G (EC 2.3.3.9),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,739
NCgl2248,Cgl2331,cg2560,aceA,,Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,432
NCgl2249,Cgl2332,cg2561,thiX,,Thiamine biosynthesis protein X,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,190
,Cgl2334,cg2563,lcoP,,Betaine/ectoine transporter LcoP (Low capacity osmoregulated permease),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,630
NCgl2259,Cgl2341,cg2571,lepA,,Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,615
NCgl2261,Cgl2343,cg2573,rpsT,,30S ribosomal protein S20,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,87
NCgl2267,Cgl2349,cg2579,,,DegV domain-containing protein Cgl2349/cg2579,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,274
,Cgl2350,cg2581,,,Phosphoglycerate mutase/fructose-2,,,
,Cgl2351,cg2582,rsfS,,Ribosomal silencing factor RsfS,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,157
NCgl2270,Cgl2352,cg2584,nadD,,Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,218
NCgl2272,Cgl2354,cg2586,proA,,Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,432
NCgl2273,Cgl2355,cg2587,,,Uncharacterized protein Cgl2355/cg2587 (EC 1.-.-.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,304
NCgl2274,Cgl2356,cg2588,proB,,Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,369
NCgl2275,Cgl2357,cg2589,obg,obgE,,,,
NCgl2276,Cgl2358,cg2590,,,Xanthine/uracil permeases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,629
,Cgl2360,cg2592,,,Uncharacterized protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,207
NCgl2279,Cgl2362,cg2594,rpmA,,50S ribosomal protein L27,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,88
NCgl2280,Cgl2363,cg2595,rplU,,50S ribosomal protein L21,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,101
NCgl2287,Cgl2370,cg2603,ndk,,Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,136
NCgl2292,Cgl2375,cg2608,folC,,Folylpolyglutamate synthase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,458
NCgl2293,Cgl2376,cg2609,valS,,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,903
,Cgl2380,cg2613,mdh,,Malate dehydrogenase (EC 1.1.1.37),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,328
NCgl2304,Cgl2387,cg2620,clpX,,ATP-dependent Clp protease ATP-binding subunit ClpX,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,426
,Cgl2392,cg2625,pcaF,,Acetyl-CoA acetyltransferases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,408
,Cgl2407,cg2640,benD,,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,276
NCgl2327,Cgl2411,cg2644,clpP2,,ATP-dependent Clp protease proteolytic subunit 1 (EC 3.4.21.92) (Endopeptidase Clp 1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,208
NCgl2328,Cgl2412,cg2645,clpP1,,ATP-dependent Clp protease proteolytic subunit 2 (EC 3.4.21.92) (Endopeptidase Clp 2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,201
NCgl2329,Cgl2414,cg2647,tig,,Trigger factor (TF) (EC 5.2.1.8) (PPIase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,449
,Cgl2423,cg2658,rpi,,Ribose 5-phosphate isomerase RpiB (EC 5.3.1.26),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,157
,Cgl2426,cg2662,pepN,,Aminopeptidase N (EC 3.4.11.2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,867
,Cgl2441,cg2680,,,PLP-dependent aminotransferases (EC 2.6.1.11),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,438
,Cgl2446,cg2687,metB,,Cystathionine beta-lyases/cystathionine gamma-synthases (EC 2.5.1.48),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,386
,Cgl2457,cg2700,phoB,,Alkaline phosphatase (EC 3.1.3.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,473
,Cgl2460,cg2704,,,ABC-type transporter,,,
,Cgl2461,cg2705,amyE,,ABC-type transporter,,,
,Cgl2463,cg2708,msiK1,,ABC-type transporter,,,
NCgl2382,Cgl2469,cg2714,,,Uncharacterized protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,254
NCgl2383,Cgl2470,cg2715,larC,,Pyridinium-3,,,
NCgl2384,Cgl2471,cg2716,hyi,,Hydroxypyruvate isomerase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,250
NCgl2386,Cgl2473,cg2718,ornA,orn,Oligoribonuclease (EC 3.1.-.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,219
NCgl2388,Cgl2475,cg2720,lppS,,Putative L,,,
,Cgl2479,cg2725,tnp1b,,Transposase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,436
NCgl2395,Cgl2482,cg2728,glsK,glsA,Glutaminase (EC 3.5.1.2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,413
NCgl2398,Cgl2484,cg2731,uxaC,,Uronate isomerase (EC 5.3.1.12) (Glucuronate isomerase) (Uronic isomerase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,518
NCgl2399,Cgl2485,cg2732,gntV,,Gluconokinase (EC 2.7.1.12),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,167
,Cgl2487,cg2734,pncA,,Amidases related to nicotinamidase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,186
NCgl2405,Cgl2491,cg2738,ppt1,acpS,Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,135
NCgl2414,Cgl2500,cg2751,,,dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,206
NCgl2415,Cgl2501,cg2753,rph,,Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,245
NCgl2423,Cgl2509,cg2762,murI,,Glutamate racemase (EC 5.1.1.3),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,273
NCgl2429,Cgl2515,cg2772,clpS,,ATP-dependent Clp protease adapter protein ClpS,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,100
,Cgl2517,cg2774,,,Nicotinate phosphoribosyltransferase (EC 6.3.4.21),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,446
,Cgl2522,cg2779,serB,,Phosphoserine phosphatase (EC 3.1.3.3),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,339
,Cgl2523,cg2780,ctaD,,Cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,584
,Cgl2525,cg2781,nrdF,,Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,334
,Cgl2526,cg2782,ftn,,Ferritin (EC 1.16.3.2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,162
,Cgl2528,cg2784,,,Mn-dependent transcriptional regulator,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,220
NCgl2443,Cgl2530,cg2786,nrdE,,Ribonucleoside-diphosphate reductase (EC 1.17.4.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,707
NCgl2444,Cgl2531,cg2787,nrdI,,Protein NrdI,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,148
,Cgl2532,cg2789,nrdH,,Glutaredoxin and related proteins,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,77
NCgl2445,Cgl2533,cg2791,rpmJ,,50S ribosomal protein L36,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,40
NCgl2446,Cgl2534,cg2792,nadE,,NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,277
,Cgl2537,cg2795,,,NADPH:quinone reductase and related Zn-dependent oxidoreductases (EC 1.1.1.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,340
,Cgl2538,cg2796,,,Uncharacterized protein involved in propionate catabolism,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,457
NCgl2453,Cgl2541,cg2800,pgm,,Phosphoglucomutase (EC 5.4.2.2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,554
NCgl2454,Cgl2542,cg2801,crcB',crcB1,Putative fluoride ion transporter CrcB 1,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,96
NCgl2455,Cgl2543,cg2802,crcB,crcB2,Putative fluoride ion transporter CrcB 2,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,108
NCgl2456,Cgl2544,cg2803,,,Putative hydro-lyase Cgl2544/cg2803 (EC 4.2.1.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,264
,Cgl2549,cg2808,tnp13a,,TnpC protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,467
NCgl2470,Cgl2558,cg2829,murA2,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,418
,Cgl2560,cg2831,ramA,,HTH-type transcriptional activator RamA (LuxR-type transcriptional regulator) (Regulator of acetate metabolism A) (RAMA),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,281
,Cgl2562,cg2833,cysK,,Cysteine synthase (EC 2.5.1.47),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,308
,Cgl2563,cg2834,cysE,,Serine acetyltransferase (EC 2.3.1.30),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,182
NCgl2476,Cgl2565,cg2836,sucD,,Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,294
NCgl2477,Cgl2566,cg2837,sucC,,Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,398
,Cgl2569,cg2840,actA,,Acetyl-CoA hydrolase (EC 2.8.3.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,513
,Cgl2570,cg2841,,,tRNA-dihydrouridine synthase (EC 1.3.1.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,381
NCgl2483,Cgl2572,cg2843,pstB,,Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,257
NCgl2484,Cgl2573,cg2844,pstA,,Phosphate transport system permease protein PstA,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,307
NCgl2485,Cgl2574,cg2845,pstC,,Phosphate transport system permease protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,338
NCgl2486,Cgl2575,cg2846,pstS,,Phosphate-binding protein PstS,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,375
NCgl2487,Cgl2576,cg2847,mshD,,Mycothiol acetyltransferase (MSH acetyltransferase) (EC 2.3.1.189) (Mycothiol synthase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,292
NCgl2490,Cgl2579,cg2850,,,UPF0678 fatty acid-binding protein-like protein Cgl2579/cg2850,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,229
NCgl2491,Cgl2580,cg2851,,,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase (EC 2.6.1.42),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,314
,Cgl2583,cg2856,purM,,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,358
,Cgl2584,cg2857,purF,,Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,494
NCgl2499,Cgl2588,cg2862,purL,,Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,762
NCgl2500,Cgl2589,cg2863,purQ,,Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,223
,Cgl2590,cg2865,purS,,Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,81
,Cgl2595,cg2870,dctA,,Na+/H+-dicarboxylate symporters,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,446
NCgl2508,Cgl2597,cg2874,purC,hemH,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,297
,Cgl2598,cg2876,purB,,Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,476
NCgl2511,Cgl2600,cg2878,purD,,Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,421
NCgl2515,Cgl2604,cg2885,bioA,,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,,,
NCgl2516,Cgl2605,cg2886,bioD,,ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,224
,Cgl2610,cg2891,poxB,,Thiamine pyrophosphate-requiring enzymes [acetolactate synthase,,,
,Cgl2617,cg2900,ddh,,Meso-diaminopimelate D-dehydrogenase (DAPDH) (Meso-DAP dehydrogenase) (EC 1.4.1.16),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,320
,Cgl2624,cg2907,otsA,,Trehalose-6-phosphate synthase (EC 2.4.1.15),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,485
,Cgl2626,cg2909,otsB,,Trehalose 6-phosphate phosphatase (EC 3.1.3.12),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,256
,Cgl2627,cg2910,ipsA,,HTH-type transcriptional regulator IpsA,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,358
,Cgl2628,cg2911,,,ABC-type transporter,,,
,Cgl2629,cg2912,,,ABC-type transporter,,,
,Cgl2630,cg2913,,,ABC-type transporter,,,
,Cgl2631,cg2914,tnp5b,,Predicted transposase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,500
NCgl2552,Cgl2641,cg2924,cysS,cysS1,Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,460
NCgl2554,Cgl2643,cg2927,scrB,,Beta-fructosidases (Levanase/invertase) (EC 3.2.1.26),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,433
NCgl2555,Cgl2644,cg2928,nagB,,Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,253
NCgl2556,Cgl2645,cg2929,nagA1,,N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,384
,Cgl2646,cg2931,nanA,,Dihydrodipicolinate synthase/N-acetylneuraminate lyase (EC 4.3.3.7),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,312
NCgl2559,Cgl2648,cg2933,nanE,,Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,232
NCgl2569,Cgl2659,cg2944,ispF,,2-C-methyl-D-erythritol 2,,,
NCgl2570,Cgl2660,cg2945,ispD,,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,256
NCgl2574,Cgl2664,cg2949,,,Uncharacterized protein Cgl2664/cg2949 (P29),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,194
NCgl2575,Cgl2665,cg2950,radA,,DNA repair protein RadA,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,464
NCgl2576,Cgl2666,cg2951,disA,,DNA integrity scanning protein DisA (Cyclic di-AMP synthase) (c-di-AMP synthase) (Diadenylate cyclase) (EC 2.7.7.85),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,366
,Cgl2668,cg2953,xylC,,NAD-dependent aldehyde dehydrogenases (EC 1.2.1.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,484
,Cgl2670,cg2954,cynT,,Carbonic anhydrase (EC 4.2.1.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,207
,Cgl2674,cg2958,buta,,L-2.3-butanediol dehydrogenase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,258
,Cgl2679,cg2964,guaB1,,IMP dehydrogenase/GMP reductase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,477
,Cgl2683,cg2969,,,Uncharacterized protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,647
,Cgl2687,cg2974,lysS,,Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,526
,Cgl2688,cg2975,panC2,panC,Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,266
,Cgl2692,cg2979,folK,,7,,,
NCgl2600,Cgl2693,cg2981,folX,,7,,,
